Categoria,Total,18-29 anos,30-44 anos,45-59 anos,60+ anos,Hombre,Mujer,Sin diploma de secundaria,Secundaria completa o equivalente,Algo de universidad/tecnico,Licenciatura o mas,Blanco no hispano,Negro no hispano,Hispano,Otro/2+ no hispano,Menos de $30k,$30k a $60k,$60k a $100k,$100k o mas
Total de encuestados,1163,231,298,271,363,566,597,102,332,303,426,696,140,214,112,262,263,262,376
Uso diario (NET),16%,17%,18%,16%,13%,19%,12%,8%,8%,21%,20%,14%,18%,12%,30%,12%,12%,15%,21%
Varias veces al dia,6%,5%,8%,6%,5%,7%,6%,1%,4%,6%,9%,6%,6%,3%,14%,5%,6%,4%,9%
Una vez al dia,10%,12%,11%,9%,7%,13%,7%,7%,4%,15%,11%,8%,13%,9%,16%,7%,6%,11%,13%
Varias veces por semana/mes (NET),29%,37%,35%,30%,20%,31%,28%,19%,23%,28%,38%,28%,31%,27%,42%,24%,33%,29%,31%
Varias veces por semana,20%,27%,23%,18%,13%,20%,19%,14%,16%,15%,26%,17%,25%,18%,29%,17%,23%,18%,21%
Varias veces por mes,10%,10%,12%,12%,7%,10%,10%,5%,7%,13%,12%,11%,6%,9%,12%,7%,10%,11%,11%
Rara vez o nunca (NET),54%,46%,47%,52%,67%,50%,58%,73%,67%,51%,41%,58%,50%,58%,28%,64%,54%,55%,47%
Rara vez,16%,17%,15%,15%,18%,18%,14%,22%,16%,16%,15%,17%,14%,20%,11%,15%,13%,18%,19%
Nunca,38%,29%,32%,37%,49%,32%,44%,51%,51%,35%,26%,41%,36%,38%,17%,48%,41%,37%,29%
No sabe,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Omitido en web,1%,0,- ,3%,0,0,1%,- ,1%,1%,0,- ,1%,3%,- ,0,2%,1%,- 
Rechazo responder,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,-
