STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,DATA_SOURCE,OBS_CONF,OBS_VALUE,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,DATA_SOURCE_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2000,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,638.5833340764045,Annual,China,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2001,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,831.1000013321637,Annual,China,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2002,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,3143.697621351481,Annual,China,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2003,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,2822.3833377311635,Annual,China,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2004,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,4152.416669405499,Annual,China,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2005,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,6455.002385802568,Annual,China,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2006,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,8976.69401739985,Annual,China,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2007,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,9757.45430819002,Annual,China,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2008,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,12075.408843673393,Annual,China,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2009,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,13090.16575685541,Annual,China,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2010,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,14094.852899804064,Annual,China,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2011,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,12418.437705346443,Annual,China,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2012,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,11099.483953893045,Annual,China,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2013,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,10026.767470249866,Annual,China,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2014,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,9349.249220430354,Annual,China,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2015,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,8444.955733177294,Annual,China,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2016,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,8291.047950930752,Annual,China,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2017,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,9768.475012635794,Annual,China,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
